DATE,Open,High,Low,Close,Adj Close,Volume
1/1/1995,15.65625,16.09375,15.34375,15.96875,8.522659,91049600
2/1/1995,15.65625,16.09375,15.34375,15.96875,8.522659,91049600
3/1/1995,15.96875,16.75,15.6875,16.65625,8.997122,110820400
4/1/1995,16.625,17.5625,16.5,17.375,9.385364,109906800
5/1/1995,17.4375,17.96875,17.34375,17.84375,9.638564,116496800
6/1/1995,17.8125,18.09375,17.125,17.65625,9.638922,123768800
7/1/1995,17.65625,18.46875,17.65625,18.125,9.894824,99212800
8/1/1995,18.09375,18.09375,17.03125,17.1875,9.383022,102002400
9/1/1995,17.15625,18.5625,17.15625,18.0625,9.966168,101004400
10/1/1995,18.03125,19.21875,17.84375,19.09375,10.535165,99992400
11/1/1995,19.09375,20.03125,18.65625,19.34375,10.673109,88534400
12/1/1995,19.3125,21.5,19.28125,20.28125,11.300994,135798000
1/1/1996,20.0625,21.25,19.40625,20.0625,11.179108,132827200
2/1/1996,20.0625,21.15625,19.53125,19.875,11.074622,131040000
3/1/1996,19.90625,21.5,19.40625,20.375,11.458679,159090800
4/1/1996,20.53125,21.5,19.96875,21.25,11.950779,137387200
5/1/1996,21.15625,22.1875,20.5,21.1875,11.91563,141999200
6/1/1996,21.125,21.875,20.84375,21.71875,12.330881,111288400
7/1/1996,21.75,22.53125,20.34375,20.5625,11.674416,143424400
8/1/1996,20.546875,21.25,20,20.375,11.567961,144430400
9/1/1996,20.75,21.8125,20.6875,20.8125,11.930426,121342000
10/1/1996,20.8125,22.625,20.71875,22.15625,12.700708,133687200
11/1/1996,22.1875,23.90625,21.9375,23.59375,13.524737,110096400
12/1/1996,23.53125,25.3125,23.28125,24.5,14.170537,132886000
1/1/1997,24.5625,26.75,24.125,25.90625,14.9839,185108000
2/1/1997,25.90625,26.3125,24.96875,25.0625,14.495885,124623200
3/1/1997,24.75,27.8125,24.71875,26.9375,15.700934,156667200
4/1/1997,26.75,28.5,24.9375,28.3125,16.502377,163431600
5/1/1997,27.875,30.125,27.3125,29.625,17.267382,142339000
6/1/1997,29.75,32.5625,29.4375,30.625,17.977337,144493400
7/1/1997,30.75,32.8125,30,32.125,18.857855,136330400
8/1/1997,32.125,32.71875,29.3125,30.59375,17.95899,127969200
9/1/1997,30.65625,33.625,30.59375,32.03125,18.927996,122988800
10/1/1997,32.125,33.4375,27.375,30.71875,18.152399,152865400
11/1/1997,31.0625,32.0625,29.3125,30.5,18.023144,107004200
12/1/1997,30.5,32.375,29.625,30.59375,18.20038,123933800
1/1/1998,30.53125,31.09375,28.3125,29.65625,17.642653,149596000
2/1/1998,30.375,32.21875,30.09375,31.875,18.962597,115262800
3/1/1998,31.9375,35,31.0625,33.8125,20.249268,145353800
4/1/1998,33.875,37.34375,32.6875,36.53125,21.877434,141879800
5/1/1998,37,38,34.5,35.25,21.110136,116825200
6/1/1998,35.25,36.53125,33.6875,35.6875,21.492554,136540200
7/1/1998,36.03125,36.90625,34.09375,35.125,21.153788,113450400
8/1/1998,34.8125,36.03125,32,32.71875,19.704636,160266200
9/1/1998,32.25,35.78125,31,35.3125,21.396433,171152400
10/1/1998,35.09375,38.46875,34.71875,35.8125,21.699394,185060600
11/1/1998,35.6875,38.65625,34.78125,37.5,22.721874,133619800
12/1/1998,36.25,38.34375,35.03125,36.5625,22.278103,191454400
1/1/1999,36.375,37.90625,34.78125,35.125,21.402212,152538200
2/1/1999,35.03125,36.71875,33.1875,33.28125,20.278784,160680200
3/1/1999,33.15625,38.1875,32.15625,35.28125,21.621071,206410000
4/1/1999,35.15625,42.625,34.71875,41.53125,25.451191,196539400
5/1/1999,41.5,43.625,38.78125,39.9375,24.47451,180442400
6/1/1999,39.8125,41.71875,37.4375,38.5625,23.749292,156534200
7/1/1999,38.5625,40.8125,37.65625,39.6875,24.442135,149662400
8/1/1999,39.875,41.46875,38.65625,39.4375,24.288176,158931400
9/1/1999,39.5,41.5,36.0625,38,23.521654,165429800
10/1/1999,37.96875,38.46875,35.625,37.03125,22.92201,176728200
11/1/1999,37.03125,40.6875,35.03125,39.65625,24.546858,177529000
12/1/1999,39.625,43.28125,39.625,40.28125,25.082239,222137400
1/1/2000,39.75,43.15625,38.25,41.4375,25.802214,250602200
2/1/2000,41.65625,42.4375,34.9375,37.65625,23.447712,221046200
3/1/2000,37.6875,41,36,39,24.420555,279745400
4/1/2000,38.875,41.5625,37.5,38.84375,24.32271,201420000
5/1/2000,39.15625,41.96875,38.5,41.65625,26.083805,193631800
6/1/2000,41.78125,42.375,38.84375,39.25,24.710499,235361600
7/1/2000,39.40625,40.5625,37.5625,40.09375,25.241695,204308600
8/1/2000,40.46875,42.375,39.875,40.820301,25.699114,186959200
9/1/2000,41,45.375,40.875,44.554649,28.203211,273431600
10/1/2000,44.6875,47.71875,42.90625,44.59375,28.22798,277293600
11/1/2000,44.96875,47.34375,43.28125,44,27.852112,219069400
12/1/2000,43.96875,45.6875,42.03125,43.46875,27.649986,246466000
1/1/2001,43.34375,44.875,39.34375,42.075001,26.763451,311749600
2/1/2001,42.075001,43.325001,40.450001,40.525002,25.777504,202850800
3/1/2001,40.400002,43.244999,37.599998,40.5,25.8967,277832200
4/1/2001,40.5,44.939999,38.5,44.299999,28.326515,265479800
5/1/2001,44.400002,45.325001,42.724998,44.375,28.374462,256474800
6/1/2001,44.5,45.834999,43.080002,43.674999,28.064507,249846400
7/1/2001,44.125,44.400002,40.52,41.759998,26.840006,225712600
8/1/2001,42.450001,42.490002,40.049999,40.150002,25.805239,190175200
9/1/2001,40.599998,41.5,35.009998,39.400002,25.465181,194900700
10/1/2001,39.25,42.700001,38.049999,39.450001,25.497503,225004000
11/1/2001,39.450001,40.580002,36.759998,37.400002,24.172525,241588300
12/1/2001,37.400002,40.299999,36.41,39.299999,25.549435,239401800
1/1/2002,39.299999,40.09,37.799999,39.049999,25.386909,199811900
2/1/2002,39.150002,41.799999,37.599998,41.299999,26.849651,201045400
3/1/2002,41.75,44.290001,41.650002,43.830002,28.663843,220308800
4/1/2002,44.200001,44.57,39.599998,40.169998,26.270281,241394100
5/1/2002,39.900002,41.130001,38.68,39.93,26.113329,214574500
6/1/2002,40,41.02,38.5,40.919998,26.915493,234310800
7/1/2002,40.77,41.099998,29.75,36.759998,24.179209,419930100
8/1/2002,35.25,37.799999,32.32,35.450001,23.317545,256030500
9/1/2002,34.25,35.799999,31.18,31.9,21.117414,237509300
10/1/2002,32.18,36.5,32.029999,33.66,22.282524,325718700
11/1/2002,33.799999,35.849998,33,34.799999,23.03718,219486100
12/1/2002,35.150002,36.220001,34.099998,34.939999,23.282379,245602600
1/1/2003,35,36.599998,31.58,34.150002,22.755959,268464500
2/1/2003,34.16,35.09,32.32,34.02,22.669331,220545200
3/1/2003,34.389999,36.200001,33.23,34.950001,23.447062,271091900
4/1/2003,35.25,36,34.200001,35.200001,23.614775,230596000
5/1/2003,35.32,36.77,34.990002,36.400002,24.419811,241625800
6/1/2003,36.529999,38.450001,35.91,35.91,24.262732,244445200
7/1/2003,35.950001,36.400002,34.900002,35.580002,24.039772,260446600
8/1/2003,35.57,37.740002,35.119999,37.700001,25.47216,212805700
9/1/2003,37.790001,38.5,36.349998,36.599998,24.899387,224083400
10/1/2003,36.919998,38.93,36.119999,36.580002,24.885784,256091700
11/1/2003,36.919998,36.990002,35.049999,36.200001,24.627264,224482300
12/1/2003,36.5,41.130001,36.220001,41,28.088247,257997900
1/1/2004,41.02,41.77,40.02,40.790001,27.944382,238350800
2/1/2004,41.259998,42.75,40.049999,42.169998,28.889786,199643700
3/1/2004,42.580002,43.400002,39.91,41.59,28.669373,285284900
4/1/2004,41.900002,43.970001,41.43,42.549999,29.331121,225169900
5/1/2004,42.900002,44.240002,41.59,43.25,29.813662,237764400
6/1/2004,43.5,45.529999,43.099998,44.41,30.811127,249433500
7/1/2004,44.529999,46.82,44.200001,46.299999,32.122383,217947100
8/1/2004,46.290001,46.939999,44.200001,46.099998,31.983622,245975700
9/1/2004,46.200001,49.790001,46.029999,48.330002,33.731873,262349900
10/1/2004,48.450001,50.459999,48.18,49.220001,34.353054,247700600
11/1/2004,49.400002,52,48.25,51.25,35.76989,244145100
12/1/2004,51.259998,52.049999,48.900002,51.259998,35.970432,286965800
1/1/2005,51.02,51.970001,49.25,51.599998,36.209011,245378900
2/1/2005,51.98,64.040001,51.93,63.310001,44.426235,368112500
3/1/2005,62.970001,64.370003,57.380001,59.599998,42.027657,550792900
4/1/2005,60.099998,61.740002,55.400002,57.029999,40.215382,420482400
5/1/2005,57,58.650002,52.779999,56.200001,39.630108,401416300
6/1/2005,56.450001,61.130001,56.330002,57.470001,40.732063,359084600
7/1/2005,57.75,60.73,57.599998,58.75,41.639275,329633500
8/1/2005,59.23,61.34,57.759998,59.900002,42.454327,394547100
9/1/2005,60.099998,65.959999,60.099998,63.540001,45.254913,430770300
10/1/2005,63.549999,63.889999,54.5,56.139999,39.984436,519294300
11/1/2005,56.09,60.259998,55.84,58.029999,41.33054,391813500
12/1/2005,58.369999,60.380001,55.599998,56.169998,40.210018,333738200
1/1/2006,56.419998,63.959999,56.419998,62.75,44.920383,408984300
2/1/2006,62.77,63.080002,58.599998,59.369999,42.500774,366218200
3/1/2006,59.59,61.919998,58.439999,60.860001,43.798885,423277300
4/1/2006,61.360001,65,60.43,63.080002,45.396545,341320100
5/1/2006,63.400002,64.769997,59.150002,60.91,43.834869,433413200
6/1/2006,60.400002,62.650002,56.639999,61.349998,44.373604,503806800
7/1/2006,61.799999,67.940002,61.630001,67.739998,48.995419,419971700
8/1/2006,67.239998,71.220001,67.010002,67.669998,48.944778,507318400
9/1/2006,67.849998,68.650002,63.869999,67.099998,48.757668,474291100
10/1/2006,67.290001,72.330002,64.839996,71.419998,51.896763,458300600
11/1/2006,71.580002,77.370003,70.269997,76.809998,55.813381,407406000
12/1/2006,76.779999,79,74.82,76.629997,55.923965,386455900
1/1/2007,76.260002,76.269997,70.639999,74.099998,54.077621,504732000
2/1/2007,74.580002,76.099998,71.18,71.68,52.311497,401419000
3/1/2007,70.900002,76.349998,69.019997,75.449997,55.29731,611224400
4/1/2007,75.349998,80.879997,75.279999,79.379997,58.177628,451394900
5/1/2007,79.5,84.32,79.050003,83.169998,60.955315,443527200
6/1/2007,83.559998,86.580002,80.849998,83.879997,61.741066,506912200
7/1/2007,84.5,93.620003,84.120003,85.129997,62.661148,559643700
8/1/2007,84.989998,87.900002,78.760002,85.730003,63.102798,687544000
9/1/2007,85.309998,93.660004,83.879997,92.559998,68.402473,446258200
10/1/2007,92.449997,95.269997,89.669998,91.989998,67.981232,513452200
11/1/2007,89.830002,90.949997,83.370003,89.160004,65.889862,548075900
12/1/2007,88.970001,95.099998,87.709999,93.690002,69.506721,386223600
1/1/2008,94.150002,94.739998,77.550003,85.699997,63.579094,614692200
2/1/2008,87.699997,90.169998,80.360001,87.010002,64.55098,491055000
3/1/2008,86.830002,88.5,81.970001,84.580002,63.019016,608218000
4/1/2008,84.800003,94.93,84.260002,93.07,69.344734,483071200
5/1/2008,90.099998,96.120003,87.599998,88.760002,66.133469,575856500
6/1/2008,88.089996,90.5,84.769997,88.129997,65.95742,565696300
7/1/2008,87.870003,89.629997,79.099998,80.43,60.194695,685444100
8/1/2008,80.550003,81.5,76.139999,80.010002,59.880348,543017900
9/1/2008,78.040001,82,71.510002,77.660004,58.418423,770778000
10/1/2008,77.190002,81.75,56.509998,74.120003,55.755516,1384259200
11/1/2008,73.449997,81.029999,67.540001,80.150002,60.291477,1006470600
12/1/2008,77.889999,83.639999,72.68,79.830002,60.396084,996412900
1/1/2009,80.059998,82.730003,74.010002,76.480003,57.861607,844182900
2/1/2009,76.059998,80.5,67.900002,67.900002,51.370331,771508100
3/1/2009,67,71.489998,61.860001,68.099998,51.781269,933460300
4/1/2009,67.040001,71.150002,64.5,66.669998,50.693935,632859600
5/1/2009,67.129997,71.389999,65.599998,69.349998,52.731735,530458500
6/1/2009,70.459999,74.830002,68.080002,69.910004,53.47477,596987800
7/1/2009,70.669998,72.790001,64.459999,70.389999,53.841915,560318900
8/1/2009,70.959999,71.889999,66.089996,69.150002,52.893429,437664700
9/1/2009,68.93,71.080002,67.830002,68.610001,52.800945,419180700
10/1/2009,68.389999,75,66.110001,71.669998,55.155861,501283200
11/1/2009,72.050003,76.540001,71.040001,75.07,57.772419,356438100
12/1/2009,76,76.300003,67.639999,68.190002,52.783165,648945000
1/1/2010,68.720001,70.599998,64.019997,64.43,49.872692,596474300
2/1/2010,65.769997,67.230003,63.560001,65,50.313908,534843200
3/1/2010,65.360001,67.889999,65.080002,66.980003,52.184776,582728200
4/1/2010,67.269997,70,66.849998,67.769997,52.800274,531285400
5/1/2010,68.110001,68.220001,58.459999,60.459999,47.104984,768609600
6/1/2010,60.380001,64.5,56.919998,57.07,44.76577,808522600
7/1/2010,56.98,61.880001,55.939999,59.68,46.813049,613489500
8/1/2010,60.639999,62.990002,58.049999,59.110001,46.365936,475629700
9/1/2010,60.040001,62.439999,59.720001,61.790001,48.81496,423362300
10/1/2010,62.32,66.809998,61.799999,66.489998,52.528034,430427600
11/1/2010,66.720001,71.900002,66.629997,69.559998,54.953373,486318500
12/1/2010,70.379997,73.690002,70.379997,73.120003,58.129532,409237200
1/1/2011,73.720001,80.82,73.639999,80.68,64.139641,449380100
2/1/2011,81.139999,88.230003,81.040001,85.529999,67.995346,443594000
3/1/2011,86.410004,86.5,78.800003,84.129997,67.234825,439334000
4/1/2011,84.720001,88,82.379997,87.980003,70.311676,309722400
5/1/2011,88.099998,88.129997,79.419998,83.470001,66.707359,403834500
6/1/2011,83.550003,83.650002,76.720001,81.379997,65.405952,444344200
7/1/2011,81.190002,85.410004,79.760002,79.790001,64.128036,375467600
8/1/2011,80.82,81.18,67.029999,74.019997,59.490635,774165900
9/1/2011,74.150002,74.980003,67.93,72.629997,58.758987,550523400
10/1/2011,72.050003,82.199997,69.209999,78.089996,63.176212,514198800
11/1/2011,75.82,80.529999,73.900002,80.440002,65.077423,444321100
12/1/2011,80.199997,85.629997,78.660004,84.760002,68.980949,380150300
1/1/2012,85.970001,87.940002,83.459999,83.739998,68.150833,333545900
2/1/2012,84.230003,87.830002,83.190002,86.5,70.397011,300700700
3/1/2012,86.470001,87.25,84.050003,86.730003,70.970551,338912600
4/1/2012,86.599998,87.669998,81.879997,86.339996,70.651421,300234500
5/1/2012,86.459999,87.519997,78.410004,78.629997,64.342369,353685200
6/1/2012,77.870003,85.699997,77.129997,85.57,70.503723,497990800
7/1/2012,85.440002,87.849998,82.830002,86.849998,71.558327,314314800
8/1/2012,87.019997,88.910004,85.5,87.300003,71.929108,248010000
9/1/2012,87.330002,92.57,86.519997,91.449997,75.838089,254195800
10/1/2012,91.790001,93.669998,89.68,91.169998,75.605888,241112300
11/1/2012,90.25,92.050003,85.059998,88.139999,73.09314,285676100
12/1/2012,88.550003,90.370003,84.699997,86.550003,72.223961,282441200
1/1/2013,87.790001,91.93,87.239998,89.970001,75.077881,261496700
2/1/2013,90.440002,90.5,87.610001,89.550003,74.727386,237182000
3/1/2013,89.07,90.980003,87.900002,90.110001,75.675095,265045600
4/1/2013,90.129997,90.989998,85.019997,88.989998,74.734512,296347200
5/1/2013,88.519997,93.5,87.480003,90.470001,75.977432,276095000
6/1/2013,90.529999,92.269997,88.019997,90.349998,76.40155,291767600
7/1/2013,90.389999,95.489998,89.959999,93.75,79.276642,237784200
8/1/2013,92.690002,93.099998,86.389999,87.160004,73.704018,271631600
9/1/2013,87.699997,89.870003,85.610001,86.040001,73.259819,238532800
10/1/2013,85.989998,90.959999,84.790001,89.620003,76.30806,287672200
11/1/2013,89.739998,96,88.269997,93.480003,79.594696,250351200
12/1/2013,93.269997,101.739998,92.919998,101.199997,86.754295,269290800
1/1/2014,100.599998,101.220001,91.699997,92.160004,79.004684,256867500
2/1/2014,91.919998,97.25,89.25,96.269997,82.528008,253283700
3/1/2014,95.760002,98.849998,93.010002,97.68,84.329811,255698300
4/1/2014,97.650002,102.57,96.239998,102.410004,88.413353,230896100
5/1/2014,101.959999,103.449997,100.32,100.529999,86.790306,179886600
6/1/2014,100.529999,104.610001,99.589996,100.68,87.509933,208876600
7/1/2014,101.150002,104.760002,98.93,98.940002,85.99752,189374200
8/1/2014,98.620003,100.43,97.629997,99.459999,86.449509,187451500
9/1/2014,99.43,99.589996,93.620003,94.050003,82.316681,231833300
10/1/2014,94.110001,96.889999,86.910004,96.709999,84.644821,342094700
11/1/2014,96.559998,97.199997,90.110001,90.540001,79.244553,218128400
12/1/2014,90.360001,95.330002,86.190002,92.449997,81.500496,400812400
1/1/2015,92.25,93.050003,86.029999,87.419998,77.066216,326724000
2/1/2015,87.849998,93.449997,87.5,88.540001,78.053574,276447700
3/1/2015,88.339996,88.519997,82.68,85,75.496864,330260500
4/1/2015,85.699997,88.669998,83.809998,87.370003,77.601891,251671200
5/1/2015,87.849998,90.089996,84.769997,85.199997,75.674515,198924100
6/1/2015,85.25,85.970001,82.800003,83.199997,74.5093,238799200
7/1/2015,83.279999,83.529999,78.93,79.209999,70.936089,273534100
8/1/2015,78.699997,79.290001,66.550003,75.239998,67.380791,387356600
9/1/2015,73.300003,75.470001,71.510002,74.349998,67.206741,316644500
10/1/2015,75.199997,83.879997,73.029999,82.739998,74.790665,318050000
11/1/2015,82.300003,87.440002,77.910004,81.660004,73.81443,264207900
12/1/2015,81.760002,82.129997,73.790001,77.949997,71.075119,366953700
1/1/2016,77.5,79.919998,71.550003,77.849998,70.983932,418597900
2/1/2016,76.660004,83.440002,73.550003,80.150002,73.081085,359915800
3/1/2016,80.559998,85.099998,80.309998,83.589996,76.909454,292841700
4/1/2016,82.400002,89.779999,81.989998,88.400002,81.33503,221737100
5/1/2016,88.239998,90.459999,87.230003,89.019997,81.905479,218945200
6/1/2016,88.43,93.830002,87.610001,93.739998,86.973114,252033000
7/1/2016,93.360001,95.550003,86.120003,88.949997,82.528885,209716200
8/1/2016,88.080002,88.940002,85.580002,87.139999,80.849564,235412300
9/1/2016,86.720001,89.370003,82.290001,87.279999,81.669998,271447100
10/1/2016,86.940002,88.669998,82.989998,83.32,77.964539,192041100
11/1/2016,83.5,88.190002,82.760002,87.300003,81.688721,232960700
12/1/2016,87.980003,93.220001,86.599998,90.260002,85.206337,220435500
1/1/2017,90.940002,91.339996,83.129997,83.889999,79.192986,252514500
2/1/2017,84,84.160004,80.760002,81.32,76.766876,237345100
3/1/2017,81.699997,84.25,80.309998,82.010002,78.126175,315475000
4/1/2017,82.019997,83.550003,80.300003,81.650002,77.783218,192624700
5/1/2017,81.510002,83.230003,80.470001,80.5,76.687683,220122400
6/1/2017,80.370003,83.690002,79.260002,80.730003,77.633041,303836700
7/1/2017,80.790001,82.489998,78.269997,80.040001,76.969513,201333900
8/1/2017,80.160004,80.82,76.050003,76.330002,73.401833,224413200
9/1/2017,76.370003,82.449997,76.32,81.980003,79.59922,216249200
10/1/2017,81.300003,84.239998,81.25,83.349998,80.929436,172408300
11/1/2017,83.389999,84.139999,80.010002,83.290001,80.871178,191810600
12/1/2017,83.440002,84.360001,82.169998,83.639999,81.962608,220445900
1/1/2018,83.82,89.300003,83.660004,87.300003,85.54921,233915000
2/1/2018,87.5,89.25,73.900002,75.739998,74.221039,369414700
3/1/2018,75.529999,76.980003,72.669998,74.610001,73.861343,356136600
4/1/2018,74.269997,80.900002,72.160004,77.75,76.969833,284689400
5/1/2018,77.260002,82.650002,75.400002,81.239998,80.424812,299337700
6/1/2018,81.870003,83.790001,79.300003,82.730003,82.730003,257136500
7/1/2018,81.889999,83.449997,81.32,82.330002,82.330002,33767700
7/6/2018,81.959999,82.699997,81.660004,82.330002,82.330002,7637116
